Mode,Time(s),Value
DCI,0.0773420036,2.540329E-04
DCI,0.2772960067,2.546433E-04
DCI,0.4773109853,2.557995E-04
DCI,0.6774119735,2.566273E-04
DCI,0.8773670197,2.568447E-04
DCI,1.0773979425,2.570666E-04
DCI,1.2774870396,2.568724E-04
DCI,1.4774800539,2.574921E-04
DCI,1.6775439978,2.564053E-04
DCI,1.8775479794,2.550411E-04
DCI,2.0775890350,2.547127E-04
DCI,2.2776360512,2.547728E-04
DCI,2.4776620865,2.547775E-04
DCI,2.6777141094,2.552075E-04
DCI,2.8777639866,2.566735E-04
DCI,3.0778520107,2.552584E-04
DCI,3.2778339386,2.550965E-04
DCI,3.4808421135,2.564007E-04
DCI,3.6808381081,2.565672E-04
DCI,3.8808019161,2.568955E-04
DCI,4.0809288025,2.578343E-04
DCI,4.2809138298,2.582875E-04
DCI,4.4808940887,2.574551E-04
DCI,4.6810169220,2.586483E-04
DCI,4.8809700012,2.595038E-04
DCI,5.0809898376,2.557764E-04
DCI,5.2810821533,2.523172E-04
DCI,5.4810390472,2.544399E-04
DCI,5.6810607910,2.558272E-04
DCI,5.8811831474,2.567198E-04
DCI,6.0811100006,2.573811E-04
DCI,6.2811331749,2.562758E-04
DCI,6.4812731743,2.556330E-04
DCI,6.6812109947,2.569233E-04
DCI,6.8812251091,2.584864E-04
DCI,7.0813570023,2.590321E-04
DCI,7.2813200951,2.559706E-04
DCI,7.4813451767,2.554203E-04
DCI,7.6813907623,2.559845E-04
DCI,7.8814129829,2.556793E-04
DCI,8.0814199448,2.531635E-04
DCI,8.2814731598,2.523819E-04
DCI,8.4814939499,2.529415E-04
DCI,8.6815347672,2.525808E-04
DCI,8.8815956116,2.562203E-04
DCI,9.0816450119,2.578158E-04
DCI,9.2816944122,2.582367E-04
DCI,9.4817867279,2.590645E-04
DCI,9.6817378998,2.595963E-04
DCI,9.8818264008,2.581950E-04
DCI,10.0819206238,2.547035E-04
DCI,10.2819051743,2.522015E-04
DCI,10.4819211960,2.564284E-04
DCI,10.6819992065,2.574597E-04
DCI,10.8820447922,2.594344E-04
DCI,11.0829591751,2.595639E-04
DCI,11.2829065323,2.577141E-04
DCI,11.4829254150,2.552307E-04
DCI,11.6830387115,2.550688E-04
DCI,11.8830099106,2.563036E-04
DCI,12.0830307007,2.550873E-04
DCI,12.2831182480,2.564747E-04
DCI,12.4830980301,2.584217E-04
DCI,12.6831436157,2.586575E-04
DCI,12.8832721710,2.558735E-04
DCI,13.0832271576,2.554619E-04
DCI,13.2832546234,2.560076E-04
DCI,13.4832916260,2.549162E-04
DCI,13.6833162308,2.549948E-04
DCI,13.8833465576,2.584586E-04
DCI,14.0834589005,2.581627E-04
DCI,14.2834444046,2.576447E-04
DCI,14.4834642410,2.576540E-04
DCI,14.6835279465,2.575245E-04
DCI,14.8835554123,2.583430E-04
DCI,15.0835876465,2.600541E-04
DCI,15.2836294174,2.566042E-04
DCI,15.4836454391,2.551983E-04
DCI,15.6836805344,2.548838E-04
DCI,15.8837785721,2.578574E-04
DCI,16.0838050842,2.565718E-04
DCI,16.2837963104,2.576355E-04
DCI,16.4839096069,2.586066E-04
DCI,16.6838626862,2.572100E-04
DCI,16.8838977814,2.560862E-04
DCI,17.0840034485,2.541947E-04
DCI,17.2839775085,2.544399E-04
DCI,17.4840240479,2.541393E-04
DCI,17.6841049194,2.569094E-04
DCI,17.8840808868,2.573719E-04
DCI,18.0857753754,2.569048E-04
DCI,18.2858104706,2.575060E-04
DCI,18.4857769012,2.582274E-04
DCI,18.6859169006,2.605675E-04
DCI,18.8858642578,2.610623E-04
DCI,19.0858764648,2.584170E-04
DCI,19.2860031128,2.589905E-04
DCI,19.4859485626,2.572146E-04
DCI,19.6859836578,2.567614E-04
DCI,19.8860912323,2.557347E-04
DCI,20.0860767365,2.569325E-04
DCI,20.2860889435,2.565209E-04
DCI,20.4862403870,2.551937E-04
DCI,20.6861915588,2.549208E-04
DCI,20.8862152100,2.520674E-04
DCI,21.0863285065,2.500788E-04
DCI,21.2863025665,2.512442E-04
DCI,21.4863414764,2.542271E-04
DCI,21.6863994598,2.552214E-04
DCI,21.8864288330,2.557440E-04
DCI,22.0864524841,2.568909E-04
DCI,22.2865066528,2.572794E-04
DCI,22.4865474701,2.558457E-04
DCI,22.6865768433,2.529369E-04
DCI,22.8866252899,2.540699E-04
DCI,23.0866680145,2.548006E-04
DCI,23.2888240814,2.546988E-04
DCI,23.4887542725,2.568493E-04
DCI,23.6887645721,2.577141E-04
DCI,23.8888072968,2.557810E-04
DCI,24.0888233185,2.556793E-04
DCI,24.2888584137,2.563683E-04
DCI,24.4889831543,2.552723E-04
DCI,24.6889839172,2.553185E-04
DCI,24.8889446259,2.546063E-04
DCI,25.0890178680,2.567568E-04
DCI,25.2890396118,2.572424E-04
DCI,25.4890289307,2.592818E-04
DCI,25.6890964508,2.583338E-04
DCI,25.8890686035,2.568585E-04
DCI,26.0890674591,2.582320E-04
DCI,26.2891845703,2.598368E-04
DCI,26.4891204834,2.576771E-04
DCI,26.6891288757,2.559660E-04
DCI,26.8892459869,2.548283E-04
DCI,27.0891952515,2.600865E-04
DCI,27.2892189026,2.613028E-04
DCI,27.4892559052,2.590182E-04
DCI,27.6892757416,2.573210E-04
DCI,27.8893184662,2.566319E-04
DCI,28.0893535614,2.540421E-04
DCI,28.2893676758,2.534779E-04
DCI,28.4894008636,2.552677E-04
DCI,28.6894397736,2.580563E-04
DCI,28.8894519806,2.561695E-04
DCI,29.0915355682,2.558781E-04
DCI,29.2914791107,2.552815E-04
DCI,29.4915199280,2.556746E-04
DCI,29.6916427612,2.581164E-04
DCI,29.8915843964,2.596102E-04
DCI,30.0916023254,2.176798E-03
DCI,30.2916431427,1.931015E-02
DCI,30.6048488617,8.804329E-03
DCI,31.4852180481,4.799102E-03
DCI,31.6852073669,3.476581E-03
DCI,31.8852081299,2.575108E-03
DCI,32.0856933594,1.963862E-03
DCI,32.2852783203,1.531440E-03
DCI,32.4853172302,1.229177E-03
DCI,32.6854515076,1.002350E-03
DCI,32.8853912354,8.474154E-04
DCI,33.0854263306,7.411839E-04
DCI,33.2855415344,6.602456E-04
DCI,33.4854888916,6.084037E-04
DCI,33.6854972839,5.568203E-04
DCI,33.8855934143,5.214098E-04
DCI,34.0855636597,4.970028E-04
DCI,34.2855911255,4.762144E-04
DCI,34.4856643677,4.619615E-04
DCI,34.6856956482,4.485580E-04
DCI,34.8857345581,4.388838E-04
DCI,35.0857543945,4.325328E-04
DCI,35.2857856750,4.218986E-04
DCI,35.4887924194,4.103412E-04
DCI,35.6887283325,4.087535E-04
DCI,35.8887634277,4.059841E-04
DCI,36.0889129639,4.008886E-04
DCI,36.2888374329,3.925437E-04
DCI,36.4888572693,3.891466E-04
DCI,36.6888923645,3.850480E-04
DCI,36.8889160156,3.850111E-04
DCI,37.0889472961,3.860819E-04
DCI,37.2889747620,3.814663E-04
DCI,37.4890213013,3.812817E-04
DCI,37.6890563965,3.838664E-04
DCI,37.8891677856,3.843095E-04
DCI,38.0891990662,3.831279E-04
DCI,38.2891502380,3.822787E-04
DCI,38.4892730713,3.755215E-04
DCI,38.6892395020,3.747461E-04
DCI,38.8892784119,3.741553E-04
DCI,39.0893821716,3.702413E-04
DCI,39.2893409729,3.683582E-04
DCI,39.4893722534,3.678412E-04
DCI,39.6894569397,3.682105E-04
DCI,39.8894577026,3.719029E-04
DCI,40.0894508362,3.721983E-04
DCI,40.2895278931,3.724568E-04
DCI,40.4895248413,3.733060E-04
DCI,40.6895370483,3.704259E-04
DCI,40.8896102905,3.676935E-04
DCI,41.0896301270,3.674351E-04
DCI,41.2931175232,3.688382E-04
DCI,41.4897117615,3.706106E-04
DCI,41.6897315979,3.724199E-04
DCI,41.8902473450,3.739707E-04
DCI,42.0901908875,3.713860E-04
DCI,42.2902297974,3.693182E-04
DCI,42.4903411865,3.687643E-04
DCI,42.6902694702,3.707583E-04
DCI,42.8903007507,3.758169E-04
DCI,43.0903930664,3.730845E-04
DCI,43.2903747559,3.688013E-04
DCI,43.4903984070,3.679520E-04
DCI,43.6904411316,3.679889E-04
DCI,43.8904647827,3.682105E-04
DCI,44.0905036926,3.689490E-04
DCI,44.2905235291,3.660319E-04
DCI,44.4906082153,3.681366E-04
DCI,44.6906242371,3.708321E-04
DCI,44.8907012939,3.691336E-04
DCI,45.0907363892,3.704629E-04
DCI,45.2906875610,3.707213E-04
DCI,45.4908218384,3.693921E-04
DCI,45.6907653809,3.675089E-04
DCI,45.8908195496,3.681366E-04
DCI,46.0908889771,3.719398E-04
DCI,46.2908515930,3.729737E-04
DCI,46.4908714294,3.758538E-04
DCI,46.6909599304,3.738599E-04
DCI,46.8909492493,3.700198E-04
DCI,47.0938949585,3.721614E-04
DCI,47.2938957214,3.716075E-04
DCI,47.4938392639,3.704629E-04
DCI,47.6939582825,3.715337E-04
DCI,47.8939285278,3.690597E-04
DCI,48.0939636230,3.726783E-04
DCI,48.2940711975,3.739707E-04
DCI,48.4940261841,3.741184E-04
DCI,48.6940727234,3.712014E-04
DCI,48.8941764832,3.706844E-04
DCI,49.0941314697,3.682474E-04
DCI,49.2941665649,3.657365E-04
DCI,49.4942588806,3.700567E-04
