Mode,Time(s),Value
DCI,1.3534990549,1.052495E-04
DCI,1.3638149500,1.000561E-04
DCI,1.3710629940,1.019938E-04
DCI,1.3779230118,1.087272E-04
DCI,1.3844809532,1.006341E-04
DCI,1.3910130262,1.014481E-04
DCI,1.3975609541,1.076589E-04
DCI,1.4039820433,9.892304E-05
DCI,1.4107099771,1.025441E-04
DCI,1.4174959660,1.059108E-04
DCI,1.4321630001,1.011012E-04
DCI,1.4456700087,1.004538E-04
DCI,1.4527959824,1.049165E-04
DCI,1.4594600201,1.057490E-04
DCI,1.4659379721,9.873343E-05
DCI,1.4727840424,1.042414E-04
DCI,1.4793070555,1.067756E-04
DCI,1.4857259989,9.687433E-05
DCI,1.4922599792,1.055131E-04
DCI,1.4989880323,1.061883E-04
DCI,1.5056689978,9.787325E-05
DCI,1.5174640417,1.067803E-04
DCI,1.5337810516,1.009070E-04
DCI,1.5411130190,1.069976E-04
DCI,1.5478140116,9.658760E-05
DCI,1.5543160439,1.031129E-04
DCI,1.5608810186,1.072797E-04
DCI,1.5673949718,9.777151E-05
DCI,1.5740959644,1.037511E-04
DCI,1.5806510448,1.063178E-04
DCI,1.5873889923,9.908027E-05
DCI,1.5940639973,1.021603E-04
DCI,1.6073390245,9.791487E-05
DCI,1.6189910173,1.077098E-04
DCI,1.6298609972,9.702694E-05
DCI,1.6368769407,1.057675E-04
DCI,1.6436959505,1.024146E-04
DCI,1.6502660513,1.025487E-04
DCI,1.6567410231,1.065860E-04
DCI,1.6632080078,1.013926E-04
DCI,1.6700129509,1.018273E-04
DCI,1.6768380404,1.079688E-04
DCI,1.6836830378,1.013510E-04
DCI,1.6973340511,1.073445E-04
DCI,1.7118899822,1.030436E-04
DCI,1.7190439701,1.061421E-04
DCI,1.7259329557,9.788712E-05
DCI,1.7326149940,1.015544E-04
DCI,1.7391339540,1.065074E-04
DCI,1.7455290556,9.933925E-05
DCI,1.7520790100,1.003937E-04
DCI,1.7585569620,1.086070E-04
DCI,1.7652349472,9.776688E-05
DCI,1.7723469734,1.025904E-04
DCI,1.7873120308,9.780388E-05
DCI,1.7973589897,1.035199E-04
DCI,1.8077670336,9.987571E-05
DCI,1.8147599697,1.071225E-04
DCI,1.8218070269,1.033442E-04
