Mode,Time(s),Value
DCI,2.0473339558,4.054739E-06
DCI,2.0574419498,3.940943E-06
DCI,2.0711081028,4.077498E-06
DCI,2.0819220543,3.518699E-06
DCI,2.0923879147,4.053541E-06
DCI,2.1133708954,4.025392E-06
DCI,2.1240630150,3.624709E-06
DCI,2.1344621181,4.088279E-06
DCI,2.1444630623,3.623511E-06
DCI,2.1581349373,3.973884E-06
DCI,2.1686758995,4.002034E-06
DCI,2.1794900894,3.982269E-06
DCI,2.1942090988,4.174525E-06
DCI,2.2107789516,3.964301E-06
DCI,2.2213099003,3.502528E-06
DCI,2.2352800369,4.199680E-06
DCI,2.2457180023,3.686998E-06
DCI,2.2560429573,4.249391E-06
DCI,2.2664020061,3.832537E-06
DCI,2.2842140198,3.707960E-06
DCI,2.2981860638,4.041563E-06
DCI,2.3087840080,3.899018E-06
DCI,2.3223700523,3.504325E-06
DCI,2.3331069946,4.229027E-06
DCI,2.3434579372,3.654057E-06
DCI,2.3538820744,4.240407E-06
DCI,2.3744299412,4.260770E-06
DCI,2.3857560158,3.789414E-06
DCI,2.3960680962,3.982269E-06
DCI,2.4097208977,3.966697E-06
DCI,2.4201800823,3.558827E-06
DCI,2.4308850765,3.922376E-06
DCI,2.4412579536,3.621715E-06
DCI,2.4622869492,3.743297E-06
DCI,2.4727840424,4.287722E-06
DCI,2.4832170010,3.725928E-06
DCI,2.4968750477,3.878056E-06
DCI,2.5072920322,3.626506E-06
DCI,2.5176439285,3.905007E-06
DCI,2.5282618999,3.580987E-06
DCI,2.5442008972,3.701372E-06
DCI,2.5594809055,3.754676E-06
DCI,2.5699980259,4.025392E-06
DCI,2.5841219425,3.676816E-06
DCI,2.5945000648,4.270952E-06
DCI,2.6048040390,3.622313E-06
DCI,2.6151599884,3.947531E-06
DCI,2.6343090534,8.325111E-04
DCI,2.6469089985,9.325298E-07
DCI,2.6606340408,4.026590E-06
DCI,2.6712028980,4.251187E-06
DCI,2.6856400967,3.512710E-06
DCI,2.6961309910,3.918783E-06
DCI,2.7065811157,3.513309E-06
DCI,2.7242119312,3.509715E-06
DCI,2.7383930683,3.885243E-06
DCI,2.7521939278,4.194888E-06
DCI,2.7625210285,3.639083E-06
DCI,2.7726581097,4.206867E-06
DCI,2.7831349373,3.637886E-06
DCI,2.7934579849,4.155958E-06
DCI,2.8144440651,3.975082E-06
DCI,2.8252201080,3.491747E-06
DCI,2.8392789364,4.021199E-06
DCI,2.8496239185,3.988857E-06
DCI,2.8597550392,3.990055E-06
DCI,2.8700489998,4.044557E-06
DCI,2.8804950714,3.500132E-06
DCI,2.8942050934,4.088279E-06
DCI,2.9119999409,4.133199E-06
DCI,2.9261579514,3.513908E-06
DCI,2.9369020462,4.054140E-06
DCI,2.9471049309,3.959510E-06
DCI,2.9573900700,4.060129E-06
DCI,2.9677419662,3.942141E-06
DCI,2.9826970100,3.574998E-06
DCI,3.0020940304,4.109242E-06
DCI,3.0127611160,4.109840E-06
DCI,3.0229270458,3.531276E-06
DCI,3.0333828926,4.138589E-06
DCI,3.0436580181,3.572602E-06
DCI,3.0541019440,4.194888E-06
DCI,3.0744540691,4.173926E-06
DCI,3.0892300606,3.908002E-06
DCI,3.0997710228,3.540260E-06
DCI,3.1098959446,3.933756E-06
DCI,3.1199800968,3.535469E-06
DCI,3.1302049160,3.896023E-06
DCI,3.1407859325,3.544453E-06
DCI,3.1542050838,4.244599E-06
DCI,3.1750888824,4.267957E-06
DCI,3.1860280037,3.701971E-06
DCI,3.1961910725,4.011017E-06
DCI,3.2062680721,3.683404E-06
DCI,3.2167940140,4.167338E-06
DCI,3.2271540165,3.769650E-06
DCI,3.2442069054,3.654656E-06
DCI,3.2615671158,3.692388E-06
DCI,3.2721490860,4.281134E-06
DCI,3.2822439671,3.688195E-06
DCI,3.2925920486,4.274546E-06
DCI,3.3028719425,3.698377E-06
DCI,3.3131759167,4.277540E-06
DCI,3.3342740536,4.276941E-06
DCI,3.3485939503,3.862483E-06
DCI,3.3591539860,3.732516E-06
DCI,3.3694629669,3.868473E-06
DCI,3.3795609474,3.731917E-06
DCI,3.3900818825,3.860088E-06
DCI,3.4004440308,3.759468E-06
DCI,3.4141950607,3.994247E-06
DCI,3.4346179962,3.948729E-06
DCI,3.4453721046,3.506720E-06
DCI,3.4554719925,3.987060E-06
DCI,3.4655261040,3.487555E-06
DCI,3.4758849144,3.964301E-06
DCI,3.4864981174,3.481565E-06
DCI,3.5042068958,3.496539E-06
DCI,3.5208859444,3.784623E-06
DCI,3.5313909054,4.295508E-06
DCI,3.5419669151,3.737308E-06
DCI,3.5521259308,4.252385E-06
DCI,3.5623478889,3.716345E-06
DCI,3.5727300644,4.229027E-06
DCI,3.5864470005,3.445630E-06
DCI,3.6071970463,3.898419E-06
DCI,3.6177649498,3.995445E-06
DCI,3.6280059814,4.012814E-06
DCI,3.6383719444,4.067317E-06
DCI,3.6486470699,3.915788E-06
DCI,3.6589770317,4.045755E-06
DCI,3.6741979122,4.055338E-06
DCI,3.6974289417,4.033777E-06
DCI,3.7081890106,3.918783E-06
DCI,3.7184019089,4.100258E-06
DCI,3.7284879684,3.899018E-06
DCI,3.7389969826,4.097862E-06
DCI,3.7493560314,3.973285E-06
DCI,3.7642068863,3.518100E-06
DCI,3.7837269306,3.605543E-06
DCI,3.7949159145,4.148771E-06
DCI,3.8050820827,3.543255E-06
DCI,3.8151569366,4.181712E-06
DCI,3.8255219460,3.898419E-06
DCI,3.8359179497,4.160150E-06
DCI,3.8527688980,4.097263E-06
DCI,3.8703761101,3.519897E-06
DCI,3.8810501099,3.605543E-06
DCI,3.8915169239,3.905007E-06
DCI,3.9016509056,3.625907E-06
DCI,3.9118609428,4.160749E-06
DCI,3.9223880768,3.576795E-06
DCI,3.9380569458,4.167936E-06
DCI,3.9573709965,4.163145E-06
DCI,3.9678680897,3.808580E-06
DCI,3.9779920578,4.135594E-06
DCI,3.9880640507,3.827147E-06
DCI,3.9986228943,3.633693E-06
DCI,4.0089540482,3.810976E-06
DCI,4.0233178139,3.661843E-06
DCI,4.0432400703,4.238610E-06
DCI,4.0540070534,4.279936E-06
DCI,4.0641617775,3.731917E-06
DCI,4.0742259026,4.282931E-06
DCI,4.0845828056,3.633693E-06
DCI,4.0952157974,4.073306E-06
DCI,4.1140999794,3.826548E-06
DCI,4.1295428276,3.733714E-06
DCI,4.1403760910,3.706762E-06
DCI,4.1505360603,3.753479E-06
DCI,4.1606020927,3.742698E-06
DCI,4.1708388329,4.245797E-06
DCI,4.1811609268,3.717543E-06
DCI,4.2044239044,3.592367E-06
DCI,4.2160658836,4.079295E-06
DCI,4.2266159058,3.562421E-06
DCI,4.2367467880,4.080493E-06
DCI,4.2470941544,3.768452E-06
DCI,4.2575359344,3.842719E-06
DCI,4.2679219246,3.749286E-06
DCI,4.2844052315,3.512111E-06
DCI,4.3025369644,3.890633E-06
DCI,4.3132071495,4.008622E-06
DCI,4.3233790398,3.484560E-06
DCI,4.3334598541,4.019402E-06
DCI,4.3441309929,3.452218E-06
DCI,4.3544211388,4.015210E-06
DCI,4.3696780205,4.171530E-06
DCI,4.3888192177,3.836131E-06
DCI,4.3995437622,3.743297E-06
DCI,4.4096341133,4.107445E-06
DCI,4.4197521210,3.718142E-06
DCI,4.4299960136,4.126012E-06
DCI,4.4403071404,3.830740E-06
DCI,4.4541940689,4.006226E-06
DCI,4.4749588966,4.022996E-06
DCI,4.4854650497,3.458207E-06
DCI,4.4958372116,4.069712E-06
DCI,4.5059390068,3.803190E-06
DCI,4.5161590576,4.081092E-06
DCI,4.5266342163,3.785222E-06
DCI,4.5402469635,3.781029E-06
DCI,4.5611090660,3.731318E-06
DCI,4.5715627670,4.017606E-06
DCI,4.5816488266,3.748088E-06
DCI,4.5916948318,3.989456E-06
DCI,4.6022009850,3.487555E-06
DCI,4.6125621796,4.080493E-06
DCI,4.6344041824,6.207884E-06
DCI,4.6478428841,3.808580E-06
DCI,4.6584029198,3.697179E-06
DCI,4.6685700417,3.842719E-06
