Mode,Time(s),Value
DCI,0.0043460000,1.015082E-04
DCI,0.0264199991,1.022343E-04
DCI,0.0403130017,9.600027E-05
DCI,0.0537340008,9.128778E-05
DCI,0.0705669969,9.811835E-05
DCI,0.0875149965,1.011891E-04
DCI,0.1013320014,1.016654E-04
DCI,0.1148680001,9.636562E-05
DCI,0.1285540015,9.746628E-05
DCI,0.1418350041,9.986646E-05
DCI,0.1586000025,9.524184E-05
DCI,0.1722420007,9.253181E-05
DCI,0.1890670061,9.690670E-05
DCI,0.2029470056,1.001532E-04
DCI,0.2164340019,9.421517E-05
DCI,0.2332800031,9.339661E-05
DCI,0.2472680062,9.778538E-05
DCI,0.2607350051,9.989883E-05
DCI,0.2773639858,9.640262E-05
DCI,0.2911269963,9.275379E-05
DCI,0.3046770096,1.017394E-04
DCI,0.3213509917,1.007128E-04
DCI,0.3356040120,9.426604E-05
DCI,0.3490389884,9.874268E-05
DCI,0.3654910028,1.013787E-04
DCI,0.3795289993,9.483949E-05
DCI,0.3932430148,9.494586E-05
DCI,0.4101929963,9.321163E-05
DCI,0.4240120053,1.019614E-04
DCI,0.4376859963,9.776226E-05
DCI,0.4541350007,9.318850E-05
DCI,0.4680350125,9.960748E-05
DCI,0.4820350111,9.767901E-05
DCI,0.4990069866,9.712868E-05
DCI,0.5127660036,9.140802E-05
DCI,0.5263389945,1.005833E-04
DCI,0.5429700017,1.019337E-04
DCI,0.5570080280,9.572280E-05
DCI,0.5706040263,9.397469E-05
DCI,0.5918220282,9.486724E-05
DCI,0.6057519913,1.001208E-04
DCI,0.6193420291,9.816922E-05
DCI,0.6362879872,9.563030E-05
DCI,0.6504110098,9.630550E-05
DCI,0.6676059961,1.016192E-04
DCI,0.6816470027,1.011059E-04
DCI,0.6952400208,9.521409E-05
DCI,0.7086660266,9.580604E-05
DCI,0.7251430154,1.012261E-04
DCI,0.7395460010,9.702694E-05
DCI,0.7566090226,9.603265E-05
DCI,0.7703729868,9.650898E-05
DCI,0.7844219804,1.027753E-04
DCI,0.7978870273,9.711018E-05
DCI,0.8143979907,9.404406E-05
DCI,0.8317899704,9.327175E-05
DCI,0.8457530141,1.021094E-04
DCI,0.8594200015,9.493199E-05
DCI,0.8729040027,9.245781E-05
DCI,0.8866320252,1.018365E-04
DCI,0.9029710293,1.008238E-04
