Mode,Time(s),Value
DCI,2.7330260277,3.465207E-04
DCI,2.7515759468,3.517373E-04
DCI,2.7662520409,3.427655E-04
DCI,2.7805669308,3.363142E-04
DCI,2.7952690125,3.422152E-04
DCI,2.8132340908,3.492631E-04
DCI,2.8318700790,3.481208E-04
DCI,2.8468549252,3.432650E-04
DCI,2.8611960411,3.390288E-04
DCI,2.8755300045,3.463959E-04
DCI,2.8897540569,3.491290E-04
DCI,2.9111270905,3.488469E-04
DCI,2.9260179996,3.447726E-04
DCI,2.9403979778,3.383860E-04
DCI,2.9550209045,3.411053E-04
DCI,2.9692840576,3.500771E-04
DCI,2.9836499691,3.385525E-04
DCI,3.0057110786,3.410267E-04
DCI,3.0204610825,3.372946E-04
DCI,3.0349590778,3.427193E-04
DCI,3.0495939255,3.472283E-04
DCI,3.0639069080,3.425297E-04
DCI,3.0818860531,3.401249E-04
DCI,3.1005969048,3.384600E-04
DCI,3.1154499054,3.473208E-04
DCI,3.1299870014,3.475798E-04
DCI,3.1445860863,3.387421E-04
DCI,3.1589059830,3.388716E-04
DCI,3.1771409512,3.411839E-04
DCI,3.1958830357,3.469138E-04
DCI,3.2106831074,3.487082E-04
DCI,3.2251648903,3.428025E-04
DCI,3.2395200729,3.381502E-04
DCI,3.2579441071,3.397364E-04
DCI,3.2725300789,3.484307E-04
DCI,3.2906899452,3.493325E-04
DCI,3.3153159618,3.462109E-04
DCI,3.3453309536,3.435055E-04
DCI,3.3699159622,3.489070E-04
DCI,3.4051070213,3.513719E-04
DCI,3.4266920090,3.421135E-04
DCI,3.4421861172,3.386727E-04
DCI,3.4654068947,3.432095E-04
DCI,3.4894039631,3.493186E-04
DCI,3.5080459118,3.423077E-04
DCI,3.5227310658,3.403191E-04
DCI,3.5413639545,3.417666E-04
DCI,3.5560948849,3.432234E-04
DCI,3.5704910755,3.486712E-04
DCI,3.5851891041,3.403700E-04
DCI,3.6003139019,3.402127E-04
DCI,3.6255559921,3.422938E-04
DCI,3.6448419094,3.453831E-04
DCI,3.6596560478,3.400694E-04
DCI,3.6747350693,3.438939E-04
DCI,3.6894559860,3.456189E-04
DCI,3.7154779434,3.449345E-04
DCI,3.7341830730,3.458178E-04
DCI,3.7494978905,3.454247E-04
DCI,3.7682099342,3.465022E-04
DCI,3.7830500603,3.401434E-04
DCI,3.8052799702,3.427378E-04
DCI,3.8238749504,3.394728E-04
DCI,3.8386640549,3.386357E-04
DCI,3.8576309681,3.414336E-04
DCI,3.8724570274,3.503360E-04
DCI,3.8916330338,3.503962E-04
DCI,3.9136159420,3.463450E-04
DCI,3.9282970428,3.468722E-04
DCI,3.9472761154,3.447032E-04
DCI,3.9620718956,3.377293E-04
DCI,3.9853839874,3.418545E-04
DCI,4.0029959679,3.446061E-04
DCI,4.0214409828,3.388901E-04
DCI,4.0366010666,3.417065E-04
DCI,4.0515241623,3.488700E-04
DCI,4.0754442215,3.491244E-04
DCI,4.0922780037,3.473901E-04
DCI,4.1111330986,3.475751E-04
DCI,4.1260151863,3.413781E-04
DCI,4.1406860352,3.409897E-04
DCI,4.1654701233,3.430985E-04
DCI,4.1817889214,3.440558E-04
DCI,4.2006449699,3.382565E-04
DCI,4.2154889107,3.439772E-04
DCI,4.2301549911,3.474734E-04
DCI,4.2555198669,3.449391E-04
DCI,4.2710700035,3.493464E-04
DCI,4.2896008492,3.496423E-04
DCI,4.3046932220,3.421782E-04
DCI,4.3194370270,3.346724E-04
DCI,4.3447790146,3.420626E-04
DCI,4.3643341064,3.430615E-04
DCI,4.3792791367,3.382334E-04
DCI,4.3938798904,3.454478E-04
DCI,4.4087958336,3.463126E-04
DCI,4.4344420433,3.451750E-04
DCI,4.4533500671,3.490134E-04
DCI,4.4682149887,3.492215E-04
DCI,4.4830012321,3.402266E-04
DCI,4.4979338646,3.395190E-04
DCI,4.5236301422,3.420811E-04
DCI,4.5464048386,3.446107E-04
DCI,4.5611238480,3.373270E-04
DCI,4.5758981705,3.464144E-04
DCI,4.5904498100,3.469508E-04
DCI,4.6138367653,3.523200E-04
DCI,4.6352581978,3.479405E-04
DCI,4.6502008438,3.488562E-04
DCI,4.6647801399,3.435055E-04
DCI,4.6794791222,3.377201E-04
DCI,4.6990571022,3.390473E-04
DCI,4.7233691216,3.451241E-04
DCI,4.7380871773,3.407353E-04
DCI,4.7529358864,3.480098E-04
DCI,4.7676091194,3.436303E-04
DCI,4.7954959869,3.468074E-04
DCI,4.8121318817,3.489625E-04
DCI,4.8269448280,3.390843E-04
DCI,4.8415641785,3.357916E-04
DCI,4.8564958572,3.411885E-04
DCI,4.8753290176,3.439124E-04
DCI,4.9005451202,3.388392E-04
DCI,4.9152870178,3.437459E-04
DCI,4.9300160408,3.475335E-04
DCI,4.9446201324,3.401850E-04
DCI,4.9652729034,3.431262E-04
DCI,4.9886670113,3.497210E-04
DCI,5.0035891533,3.443749E-04
DCI,5.0182862282,3.398983E-04
DCI,5.0328230858,3.507707E-04
DCI,5.0552921295,3.438338E-04
DCI,5.0769338608,3.462201E-04
DCI,5.0916361809,3.490458E-04
DCI,5.1066040993,3.409064E-04
DCI,5.1211528778,3.384138E-04
DCI,5.1454849243,3.452258E-04
