Mode,Time(s),Value
DCI,0.0069260001,8.259349E-05
DCI,0.0334840007,9.101031E-05
DCI,0.0524940006,8.660304E-05
DCI,0.0743329972,6.557026E-05
DCI,0.0936399996,7.001914E-05
DCI,0.1156560034,2.707490E-05
DCI,0.1349070072,7.903716E-05
DCI,0.1534689963,8.972466E-05
DCI,0.1752469987,4.745561E-05
DCI,0.1945649981,9.110742E-05
DCI,0.2169319987,4.054180E-05
DCI,0.2358990014,3.761441E-05
DCI,0.2545000017,3.280018E-05
DCI,0.2762340009,4.082852E-05
DCI,0.2987760007,8.858506E-06
DCI,0.3216589987,1.617466E-05
DCI,0.3408789933,1.557346E-05
DCI,0.3597410023,1.443118E-05
DCI,0.3851639926,5.858245E-05
DCI,0.4043639898,5.902641E-05
DCI,0.4230340123,1.436181E-05
DCI,0.4418700039,1.441730E-05
DCI,0.4638639987,4.178582E-05
DCI,0.4861899912,7.499061E-05
DCI,0.5053679943,6.723050E-05
DCI,0.5240780115,4.746486E-05
DCI,0.5462520123,8.911421E-05
DCI,0.5658389926,5.181663E-05
DCI,0.5882930160,1.074832E-04
DCI,0.6073679924,1.044865E-04
DCI,0.6294990182,1.071919E-04
DCI,0.6487110257,1.106002E-04
DCI,0.6674540043,9.120454E-05
DCI,0.6895840168,1.255655E-04
DCI,0.7118359804,9.914502E-05
DCI,0.7308480144,1.222913E-04
DCI,0.7498450279,1.230497E-04
DCI,0.7687919736,1.065259E-04
DCI,0.7911139727,1.241041E-04
DCI,0.8133249879,8.403175E-05
DCI,0.8321769834,1.049397E-04
DCI,0.8566930294,3.257357E-05
DCI,0.8967249990,1.485202E-05
DCI,0.9357299805,7.717343E-05
DCI,0.9688150287,1.095227E-04
DCI,0.9889919758,1.202703E-04
DCI,1.0168880224,3.740630E-05
DCI,1.0430359840,2.682054E-05
DCI,1.0654100180,8.499367E-05
DCI,1.0845110416,5.214498E-05
DCI,1.1038030386,5.759278E-05
DCI,1.1267490387,1.195720E-04
DCI,1.1552779675,3.383147E-05
DCI,1.1745100021,3.287417E-05
DCI,1.1936490536,5.679272E-05
DCI,1.2167140245,1.636427E-05
DCI,1.2457590103,5.996521E-05
DCI,1.2650359869,5.626552E-05
DCI,1.2839139700,5.863795E-05
DCI,1.3067029715,1.045836E-04
DCI,1.3396650553,1.426007E-05
DCI,1.3589119911,2.371742E-05
DCI,1.3778929710,1.522199E-05
DCI,1.4068880081,8.872574E-05
DCI,1.4303389788,1.047917E-04
DCI,1.4497699738,1.200992E-04
DCI,1.4687149525,7.568893E-05
DCI,1.4968119860,1.980961E-05
DCI,1.5206040144,1.276631E-05
DCI,1.5400079489,1.159628E-05
DCI,1.5594650507,1.083785E-05
DCI,1.5867389441,7.908803E-05
DCI,1.6112970114,7.486575E-05
DCI,1.6304680109,9.942712E-05
DCI,1.6499300003,1.001069E-04
DCI,1.6766920090,2.454523E-05
DCI,1.7014410496,2.893399E-05
DCI,1.7207100391,3.183363E-05
DCI,1.7398960590,6.902291E-06
DCI,1.7666929960,7.717806E-05
DCI,1.7915840149,9.061721E-05
DCI,1.8107329607,9.009001E-05
DCI,1.8299239874,1.159648E-04
DCI,1.8566819429,1.535148E-05
DCI,1.8814239502,2.680667E-05
DCI,1.9009200335,2.818481E-05
DCI,1.9201279879,1.257208E-05
DCI,1.9421750307,9.223852E-06
DCI,1.9715000391,1.141149E-04
DCI,1.9945670366,6.091789E-05
DCI,2.0138750076,4.117075E-05
DCI,2.0367128849,1.430631E-05
DCI,2.0628700256,3.538997E-05
DCI,2.0854070187,9.114442E-05
DCI,2.1048269272,3.143592E-05
DCI,2.1346669197,9.704544E-05
DCI,2.1541640759,3.798438E-05
DCI,2.1767780781,7.632981E-06
DCI,2.1960470676,1.277094E-05
DCI,2.2256309986,8.596947E-05
DCI,2.2484469414,1.139022E-04
DCI,2.2675609589,1.118489E-04
DCI,2.2865478992,9.939012E-05
DCI,2.3165230751,1.678973E-05
DCI,2.3425190449,3.956138E-05
DCI,2.3620131016,3.499225E-05
DCI,2.3809449673,3.632414E-05
DCI,2.4066898823,7.781163E-05
DCI,2.4326438904,6.660155E-05
DCI,2.4521999359,7.483800E-05
DCI,2.4713010788,9.898316E-05
DCI,2.4967319965,1.062511E-05
DCI,2.5228369236,3.667561E-05
DCI,2.5419759750,1.805226E-05
DCI,2.5614180565,1.574919E-05
DCI,2.5846641064,4.938408E-05
DCI,2.6135489941,5.470239E-05
DCI,2.6326038837,9.970460E-05
DCI,2.6517810822,1.231098E-04
DCI,2.6767261028,1.113382E-05
DCI,2.7034800053,8.743547E-05
DCI,2.7225461006,5.841596E-05
DCI,2.7414410114,8.673522E-06
DCI,2.7667520046,1.008700E-04
DCI,2.7932519913,4.553639E-05
DCI,2.8126389980,7.801049E-05
DCI,2.8314819336,1.113864E-04
DCI,2.8567149639,2.019346E-05
DCI,2.8831479549,5.124780E-05
DCI,2.9026958942,4.795044E-05
DCI,2.9215641022,5.540534E-05
DCI,2.9467320442,7.863482E-05
DCI,2.9735729694,7.044461E-05
DCI,2.9927980900,4.887999E-05
DCI,3.0124230385,6.682353E-05
DCI,3.0367209911,2.742174E-05
DCI,3.0644180775,9.187049E-05
DCI,3.0834770203,4.370966E-05
DCI,3.1029019356,2.616847E-05
DCI,3.1267230511,7.718268E-05
DCI,3.1543331146,2.287111E-05
DCI,3.1734399796,3.333201E-05
DCI,3.1926200390,6.722587E-05
DCI,3.2166800499,1.130493E-05
DCI,3.2440829277,7.502299E-05
DCI,3.2635319233,8.603884E-05
DCI,3.2829370499,9.778538E-05
DCI,3.3067030907,1.122512E-04
DCI,3.3384330273,6.916165E-06
DCI,3.3616249561,3.840985E-05
DCI,3.3808519840,2.666330E-05
DCI,3.4059419632,1.199512E-04
DCI,3.4297130108,1.012261E-04
DCI,3.4522991180,4.587399E-05
DCI,3.4717960358,1.006434E-04
DCI,3.4967319965,2.430937E-05
DCI,3.5213749409,9.473581E-06
DCI,3.5438029766,5.169176E-05
DCI,3.5634260178,7.110593E-05
DCI,3.5867490768,1.284420E-04
DCI,3.6156930923,2.281099E-05
DCI,3.6349968910,1.611454E-05
DCI,3.6539878845,4.980029E-05
DCI,3.6767230034,1.235935E-05
DCI,3.7057559490,8.953505E-05
DCI,3.7251698971,1.191141E-04
DCI,3.7440199852,9.922826E-05
DCI,3.7666959763,9.771601E-05
DCI,3.7956049442,1.955063E-05
DCI,3.8151199818,1.655388E-05
DCI,3.8339679241,1.764991E-05
DCI,3.8567149639,6.985534E-06
DCI,3.8859589100,6.062653E-05
DCI,3.9052441120,8.432773E-05
DCI,3.9244730473,7.659998E-05
DCI,3.9467220306,1.248718E-04
DCI,3.9766459465,6.911540E-06
DCI,3.9958920479,3.174576E-05
DCI,4.0150518417,4.820017E-05
DCI,4.0469360352,1.172550E-04
DCI,4.0669960976,1.003844E-04
DCI,4.0859189034,1.205848E-04
DCI,4.1049709320,7.933776E-05
DCI,4.1369757652,9.519828E-06
DCI,4.1572871208,2.072529E-05
DCI,4.1766672134,9.265473E-06
DCI,4.1954488754,1.388547E-05
DCI,4.2269268036,1.363917E-04
DCI,4.2478151321,1.065537E-04
DCI,4.2673201561,9.044148E-05
DCI,4.2861480713,1.007914E-04
DCI,4.3115167618,5.319014E-05
DCI,4.3415288925,5.175188E-05
DCI,4.3608288765,4.093027E-05
DCI,4.3804187775,1.830199E-05
DCI,4.4067478180,1.103505E-04
DCI,4.4322190285,6.431236E-05
DCI,4.4513359070,8.137722E-05
DCI,4.4708209038,1.039731E-04
DCI,4.4967308044,3.109369E-05
DCI,4.5224242210,3.058961E-05
DCI,4.5415000916,3.603741E-05
DCI,4.5611920357,2.700553E-05
DCI,4.5867409706,9.848832E-05
DCI,4.6132450104,2.300985E-05
DCI,4.6325788498,8.824016E-05
DCI,4.6515350342,9.176874E-05
DCI,4.6767058372,8.937125E-06
DCI,4.7031011581,8.025343E-05
DCI,4.7260689735,1.191373E-04
DCI,4.7453541756,6.108437E-05
DCI,4.7751631737,2.183520E-05
DCI,4.7941861153,4.302522E-05
DCI,4.8169441223,8.557906E-06
DCI,4.8359599113,1.487514E-05
DCI,4.8660387993,1.245897E-04
DCI,4.8852877617,1.012538E-04
DCI,4.9078731537,1.093886E-04
DCI,4.9272618294,8.853151E-05
DCI,4.9569430351,1.373286E-05
DCI,4.9796819687,7.956705E-06
DCI,4.9989981651,3.549171E-05
DCI,5.0183720589,2.514180E-05
DCI,5.0467691422,8.675103E-05
DCI,5.0726442337,6.870113E-05
DCI,5.0917830467,5.404570E-05
DCI,5.1106901169,8.445722E-05
DCI,5.1367030144,2.310234E-05
DCI,5.1625189781,4.475483E-05
DCI,5.1819767952,4.968930E-05
DCI,5.2009320259,1.797364E-05
DCI,5.2266798019,1.128108E-04
DCI,5.2525382042,8.966917E-05
DCI,5.2719879150,5.554407E-05
DCI,5.2909049988,6.518179E-05
DCI,5.3153448105,3.118156E-05
DCI,5.3468999863,1.044587E-04
DCI,5.3660612106,1.162284E-04
DCI,5.3853468895,8.367565E-05
DCI,5.4169888496,1.088872E-05
DCI,5.4393029213,4.101813E-05
DCI,5.4585042000,7.558987E-06
DCI,5.4776930809,1.114307E-05
DCI,5.5069370270,1.233827E-04
DCI,5.5298261642,9.609739E-05
DCI,5.5489311218,8.644580E-05
DCI,5.5682988167,8.451271E-05
DCI,5.5968341827,1.254433E-05
DCI,5.6207218170,1.308541E-05
DCI,5.6401472092,2.855478E-05
DCI,5.6593308449,2.501231E-05
DCI,5.6867508888,8.277385E-05
DCI,5.7109031677,5.418443E-05
DCI,5.7303409576,1.169036E-04
DCI,5.7494821548,1.141473E-04
DCI,5.7731270790,3.795663E-05
DCI,5.8009290695,5.274618E-05
DCI,5.8200540543,8.035324E-06
DCI,5.8394761086,1.726145E-05
DCI,5.8667721748,1.299265E-04
DCI,5.8913550377,7.788100E-05
DCI,5.9107480049,5.957212E-05
DCI,5.9302659035,6.655068E-05
DCI,5.9566998482,7.239888E-06
DCI,5.9816541672,2.639045E-05
DCI,6.0043611526,8.851763E-05
DCI,6.0235757828,7.486575E-05
DCI,6.0467071533,7.399169E-05
DCI,6.0725541115,2.463309E-05
DCI,6.0953631401,3.121856E-05
DCI,6.1145291328,4.742324E-05
DCI,6.1445860863,1.258595E-05
DCI,6.1636872292,1.075248E-04
DCI,6.1867327690,1.250753E-04
DCI,6.2058930397,1.146190E-04
DCI,6.2358999252,6.541570E-06
DCI,6.2583851814,1.486127E-05
DCI,6.2778768539,1.760367E-05
DCI,6.2968530655,6.795925E-06
DCI,6.3265848160,1.037558E-04
DCI,6.3528318405,3.467315E-05
DCI,6.3722028732,6.104275E-05
DCI,6.3914680481,3.895093E-05
DCI,6.4166941643,9.288596E-06
DCI,6.4432320595,2.562276E-05
DCI,6.4624199867,5.706557E-05
DCI,6.4816350937,4.581387E-05
DCI,6.5066919327,1.182586E-04
DCI,6.5333619118,6.116299E-05
DCI,6.5527191162,7.694683E-05
DCI,6.5719752312,3.933940E-05
DCI,6.5951690674,1.189688E-05
DCI,6.6236810684,8.554400E-05
DCI,6.6432099342,8.548851E-05
DCI,6.6622610092,4.004234E-05
DCI,6.6866760254,1.236833E-04
DCI,6.7138190269,2.284337E-05
DCI,6.7332630157,2.957682E-05
DCI,6.7522649765,7.811686E-05
DCI,6.7766962051,6.671060E-06
DCI,6.8039989471,8.956742E-05
DCI,6.8232479095,6.460833E-05
DCI,6.8424677849,1.016053E-04
DCI,6.8667168617,8.450809E-05
DCI,6.8941340446,3.531135E-05
DCI,6.9132871628,7.598028E-05
DCI,6.9325962067,3.164865E-05
DCI,6.9567131996,1.926853E-05
DCI,6.9846239090,1.218427E-04
DCI,7.0039901733,8.103499E-05
DCI,7.0232248306,6.862713E-05
DCI,7.0466737747,1.163440E-04
DCI,7.0746932030,1.006553E-05
DCI,7.0942091942,1.175814E-05
DCI,7.1135759354,4.845453E-05
DCI,7.1367249489,2.125712E-05
DCI,7.1650171280,1.001347E-04
DCI,7.1844792366,9.643499E-05
DCI,7.2037391663,1.088845E-04
DCI,7.2267451286,1.143554E-04
DCI,7.2553668022,1.522661E-05
DCI,7.2747731209,1.099508E-05
DCI,7.2943167686,2.374517E-05
DCI,7.3167309761,8.594903E-06
DCI,7.3459258080,7.942100E-05
DCI,7.3723769188,5.028588E-05
DCI,7.3919920921,6.077452E-05
DCI,7.4166970253,9.690939E-06
DCI,7.4411129951,4.878288E-05
DCI,7.4638209343,5.761128E-05
DCI,7.4830079079,7.313151E-05
DCI,7.5067229271,9.754027E-05
DCI,7.5322551727,2.075766E-05
DCI,7.5554399490,8.275804E-06
DCI,7.5746979713,2.848541E-05
DCI,7.6047382355,1.042414E-04
DCI,7.6273851395,9.986646E-05
DCI,7.6468849182,9.788250E-05
DCI,7.6657629013,1.230451E-04
DCI,7.6959228516,8.992621E-06
DCI,7.7185511589,2.779171E-05
DCI,7.7380318642,2.180283E-05
DCI,7.7570261955,9.875923E-06
DCI,7.7866587639,9.719805E-05
DCI,7.8094291687,8.977091E-05
DCI,7.8286647797,8.387914E-05
DCI,7.8479461670,9.712868E-05
DCI,7.8750009537,1.939802E-05
DCI,7.9000000954,2.883688E-05
DCI,7.9192271233,3.043237E-05
DCI,7.9381899834,2.712577E-05
DCI,7.9669218063,1.038575E-04
DCI,7.9905991554,7.138803E-05
DCI,8.0100660324,6.189831E-05
DCI,8.0290632248,1.026875E-04
DCI,8.0567588806,1.296517E-05
DCI,8.0809841156,3.365111E-05
DCI,8.1005325317,4.347381E-05
DCI,8.1195297241,4.444035E-05
DCI,8.1467027664,9.852069E-05
DCI,8.1714639664,6.459446E-05
DCI,8.1908636093,6.269837E-05
DCI,8.2098693848,9.047385E-05
DCI,8.2367353439,8.548657E-06
DCI,8.2617120743,9.136178E-05
DCI,8.2808475494,4.121699E-05
DCI,8.3003273010,2.504931E-05
DCI,8.3267946243,1.207004E-04
DCI,8.3551187515,1.239634E-05
DCI,8.3781881332,1.563358E-05
DCI,8.3979034424,2.023508E-05
DCI,8.4269304276,1.282246E-04
DCI,8.4500083923,1.049813E-04
DCI,8.4693336487,6.544539E-05
DCI,8.4886140823,8.740773E-05
DCI,8.5168476105,8.983371E-06
DCI,8.5406446457,7.060647E-05
DCI,8.5639448166,8.920670E-05
DCI,8.5833463669,1.057536E-04
DCI,8.6066999435,8.930845E-05
DCI,8.6325540543,7.670635E-05
DCI,8.6554641724,7.387876E-06
DCI,8.6746883392,9.825053E-06
DCI,8.7048931122,1.157937E-04
DCI,8.7241544724,1.191650E-04
DCI,8.7470550537,1.112662E-04
DCI,8.7662477493,1.069976E-04
DCI,8.7958459854,1.808000E-05
DCI,8.8187561035,7.540489E-06
DCI,8.8380947113,9.450458E-06
DCI,8.8574085236,1.478727E-05
DCI,8.8869085312,1.236463E-04
DCI,8.9099559784,4.637345E-05
DCI,8.9292049408,7.911115E-05
DCI,8.9484434128,8.101650E-05
DCI,8.9769392014,8.238807E-06
DCI,9.0008153915,1.752505E-05
DCI,9.0199537277,2.120625E-05
DCI,9.0389604568,3.497375E-05
DCI,9.0668382645,1.089076E-04
DCI,9.0911407471,4.774696E-05
DCI,9.1106081009,6.606509E-05
DCI,9.1296262741,7.467614E-05
DCI,9.1552143097,1.776091E-05
DCI,9.1813983917,8.611283E-05
DCI,9.2007503510,9.373883E-05
DCI,9.2201614380,6.089939E-05
DCI,9.2467002869,1.042737E-04
DCI,9.2719774246,6.535290E-05
DCI,9.2914028168,5.895242E-05
DCI,9.3107013702,6.427074E-05
DCI,9.3367061615,2.500769E-05
DCI,9.3665809631,1.085885E-04
DCI,9.3857097626,8.889685E-05
DCI,9.4047861099,6.762359E-05
DCI,9.4369878769,1.259983E-05
DCI,9.4572381973,1.952289E-05
DCI,9.4762544632,1.897256E-05
DCI,9.4952411652,1.603592E-05
DCI,9.5269851685,1.147300E-04
DCI,9.5476446152,8.793493E-05
DCI,9.5673818588,1.151832E-04
DCI,9.5867490768,8.627469E-05
DCI,9.6169118881,7.683852E-06
DCI,9.6387519836,1.951826E-05
DCI,9.6582918167,4.002384E-05
DCI,9.6775579453,9.801930E-06
DCI,9.7069368362,1.179904E-04
DCI,9.7296495438,7.235920E-05
DCI,9.7490978241,8.932232E-05
DCI,9.7686748505,7.646587E-05
DCI,9.7969274521,9.936044E-06
DCI,9.8208847046,8.293571E-05
DCI,9.8434743881,8.647355E-05
DCI,9.8630657196,7.016251E-05
DCI,9.8866977692,1.163440E-04
DCI,9.9122238159,3.781789E-05
DCI,9.9348602295,1.361724E-05
DCI,9.9542074203,1.271082E-05
DCI,9.9767179489,2.142361E-05
DCI,10.0036935806,1.030251E-04
DCI,10.0268030167,9.535745E-05
DCI,10.0458869934,1.072705E-04
DCI,10.0759716034,9.598446E-06
DCI,10.0988712311,1.399184E-05
DCI,10.1185216904,1.427856E-05
DCI,10.1375665665,1.962463E-05
DCI,10.1615333557,4.864876E-05
DCI,10.1896257401,5.446191E-05
DCI,10.2088079453,4.598960E-05
DCI,10.2280645370,1.307266E-04
DCI,10.2569561005,1.224373E-05
DCI,10.2805404663,5.632101E-05
DCI,10.2996835709,3.251808E-05
DCI,10.3189716339,4.278011E-05
DCI,10.3468847275,1.169498E-04
DCI,10.3755979538,9.320969E-06
DCI,10.3950319290,1.126331E-05
DCI,10.4145250320,8.437666E-06
DCI,10.4466791153,7.854963E-06
DCI,10.4666967392,1.051293E-04
DCI,10.4856872559,1.029557E-04
DCI,10.5046863556,1.144201E-04
DCI,10.5369367599,7.660729E-06
DCI,10.5571584702,1.271082E-05
DCI,10.5768442154,3.448817E-05
DCI,10.5958366394,1.517112E-05
DCI,10.6269159317,9.291565E-05
DCI,10.6481637955,6.500143E-05
DCI,10.6676874161,1.283356E-04
DCI,10.6867122650,9.241619E-05
DCI,10.7152490616,1.208649E-05
DCI,10.7389192581,3.208336E-05
DCI,10.7581615448,9.926794E-06
DCI,10.7776794434,2.463772E-05
DCI,10.8069381714,8.103962E-05
DCI,10.8300762177,5.265831E-05
DCI,10.8492622375,4.725675E-05
DCI,10.8689193726,5.024888E-05
DCI,10.8968925476,1.712271E-05
DCI,10.9210224152,7.879205E-05
DCI,10.9401559830,7.899554E-05
DCI,10.9594087601,5.673723E-05
DCI,10.9867563248,9.946412E-05
DCI,11.0113582611,4.219741E-05
DCI,11.0308542252,6.384527E-05
DCI,11.0501604080,8.187668E-05
DCI,11.0766820908,1.201250E-05
DCI,11.1017026901,1.028771E-04
DCI,11.1246595383,1.261066E-04
DCI,11.1439542770,1.064982E-04
DCI,11.1666927338,1.073260E-04
DCI,11.1930351257,2.907736E-05
DCI,11.2156791687,1.686373E-05
DCI,11.2352361679,8.446915E-06
DCI,11.2652254105,9.570430E-05
DCI,11.2846584320,9.287865E-05
DCI,11.3073291779,9.358622E-05
DCI,11.3268222809,4.834354E-05
DCI,11.3566093445,3.972324E-05
DCI,11.3793325424,1.624403E-05
DCI,11.3986473083,2.940108E-05
DCI,11.4176807404,2.715814E-05
DCI,11.4469375610,1.061698E-04
DCI,11.4704570770,3.212961E-05
DCI,11.4896955490,3.503850E-05
DCI,11.5087261200,1.012816E-04
DCI,11.5368328094,2.016571E-05
DCI,11.5612468719,5.189525E-05
DCI,11.5809068680,9.015938E-05
DCI,11.6000318527,4.413050E-05
DCI,11.6267013550,1.010319E-04
DCI,11.6520910263,2.410589E-05
DCI,11.6715745926,1.580007E-05
DCI,11.6906042099,5.740317E-05
DCI,11.7152996063,1.679898E-05
DCI,11.7429141998,9.976472E-05
DCI,11.7624425888,1.047824E-04
DCI,11.7818965912,8.251025E-05
DCI,11.8067407608,1.171348E-04
DCI,11.8343286514,8.257305E-06
DCI,11.8536367416,1.600355E-05
DCI,11.8729677200,1.754355E-05
DCI,11.8967342377,5.644394E-06
DCI,11.9251165390,1.326180E-04
DCI,11.9444427490,1.187950E-04
DCI,11.9636688232,1.081353E-04
DCI,11.9866828918,6.560263E-05
DCI,12.0157423019,8.109318E-06
DCI,12.0353765488,8.997245E-06
DCI,12.0545177460,1.089334E-05
DCI,12.0869436264,9.680496E-05
DCI,12.1070308685,8.145121E-05
DCI,12.1265640259,6.224978E-05
DCI,12.1458196640,1.086717E-04
DCI,12.1745367050,5.847877E-06
DCI,12.1979913712,1.444043E-05
DCI,12.2174196243,1.828811E-05
DCI,12.2370681763,2.421688E-05
DCI,12.2669353485,1.104106E-04
DCI,12.2894401550,6.859476E-05
DCI,12.3086843491,3.500612E-05
DCI,12.3283720016,5.772690E-05
DCI,12.3569087982,9.006494E-06
DCI,12.3810644150,4.771921E-05
DCI,12.4038476944,9.627775E-05
DCI,12.4399261475,4.569363E-05
DCI,12.4668111801,1.318226E-04
DCI,12.4934692383,1.065748E-05
DCI,12.5130529404,2.636270E-05
DCI,12.5366888046,1.581856E-05
DCI,12.5628452301,1.169591E-04
DCI,12.5861396790,7.898166E-05
DCI,12.6054811478,1.264395E-04
DCI,12.6355075836,1.406121E-05
DCI,12.6582946777,4.172108E-05
DCI,12.6779251099,2.809231E-05
DCI,12.6970720291,4.951357E-05
DCI,12.7269496918,8.472544E-05
DCI,12.7497949600,2.317634E-05
DCI,12.7691488266,6.742011E-05
DCI,12.7885389328,1.069930E-04
DCI,12.8169174194,4.116150E-05
DCI,12.8411893845,7.166551E-05
DCI,12.8604373932,6.561650E-05
DCI,12.8799734116,6.324407E-05
DCI,12.9067306519,8.733836E-05
DCI,12.9321365356,9.616945E-06
DCI,12.9515199661,4.444498E-05
DCI,12.9707345963,3.312853E-05
DCI,12.9952898026,1.510637E-05
DCI,13.0229835510,1.062484E-04
DCI,13.0426082611,1.038020E-04
DCI,13.0616655350,1.245296E-04
DCI,13.0867424011,8.848526E-05
DCI,13.1137838364,1.837598E-05
DCI,13.1334609985,2.011484E-05
DCI,13.1524839401,1.272007E-05
DCI,13.1767416000,1.826961E-05
DCI,13.2049446106,1.081723E-04
DCI,13.2242536545,1.203859E-04
DCI,13.2436542511,1.049582E-04
DCI,13.2667303085,9.985259E-05
DCI,13.2958498001,9.848176E-06
DCI,13.3152008057,9.348716E-06
DCI,13.3345680237,9.561449E-06
DCI,13.3669643402,5.546083E-05
DCI,13.3870515823,7.334425E-05
DCI,13.4064197540,7.102269E-05
DCI,13.4256668091,1.249412E-04
DCI,13.4568042755,3.497838E-05
DCI,13.4815607071,9.683733E-05
DCI,13.5012578964,9.994508E-05
DCI,13.5206594467,8.510004E-05
DCI,13.5467052460,8.027193E-05
DCI,13.5731287003,1.606367E-05
DCI,13.5961790085,2.236703E-05
DCI,13.6156568527,1.460691E-05
DCI,13.6457118988,7.169326E-05
DCI,13.6649456024,1.153728E-04
DCI,13.6879768372,9.068658E-05
DCI,13.7074518204,8.965067E-05
DCI,13.7345237732,1.433406E-05
DCI,13.7570219040,1.305304E-05
DCI,13.7798614502,9.639337E-05
DCI,13.7995042801,8.075289E-05
DCI,13.8267230988,9.168088E-05
DCI,13.8488092422,4.198468E-05
DCI,13.8716926575,9.686314E-06
DCI,13.8913688660,1.206799E-05
DCI,13.9167070389,1.198013E-05
DCI,13.9409799576,9.546382E-05
DCI,13.9637765884,1.158815E-04
DCI,13.9830999374,1.185731E-04
DCI,14.0067071915,5.087783E-05
DCI,14.0359058380,8.886254E-06
DCI,14.0555992126,1.719670E-05
DCI,14.0747280121,1.133268E-05
DCI,14.1046600342,9.705931E-05
DCI,14.1273231506,6.723975E-05
DCI,14.1470022202,6.702239E-05
DCI,14.1662263870,6.972317E-05
DCI,14.1962652206,2.577538E-05
DCI,14.2189006805,3.841910E-05
DCI,14.2385129929,3.460378E-05
DCI,14.2576942444,3.882144E-05
DCI,14.2853183746,6.781782E-05
DCI,14.3099803925,3.147754E-05
DCI,14.3293247223,2.491057E-05
DCI,14.3487224579,2.484120E-05
DCI,14.3768281937,2.388853E-05
DCI,14.4011278152,8.313920E-05
DCI,14.4204750061,8.550238E-05
DCI,14.4436426163,1.083018E-04
DCI,14.4668035507,9.730904E-05
DCI,14.4962186813,2.220054E-05
DCI,14.5154838562,3.712883E-05
DCI,14.5347509384,1.607754E-05
DCI,14.5669927597,7.950424E-05
DCI,14.5877408981,3.206024E-05
