Mode,Time(s),Value
DCI,0.0066100000,1.885066E-04
DCI,0.0363809988,1.941163E-04
DCI,0.0621749982,1.843306E-04
DCI,0.0876680017,1.907218E-04
DCI,0.1097370014,1.897368E-04
DCI,0.1312820017,1.916930E-04
DCI,0.1576099992,1.939267E-04
DCI,0.1823350042,1.875586E-04
DCI,0.2040780038,1.883170E-04
DCI,0.2258449942,1.875863E-04
DCI,0.2546550035,1.944539E-04
DCI,0.2769770026,1.932376E-04
DCI,0.2986389995,1.943429E-04
DCI,0.3203360140,1.893760E-04
DCI,0.3490119874,1.881274E-04
DCI,0.3712370098,1.896628E-04
DCI,0.3968360126,1.931405E-04
DCI,0.4229170084,1.851445E-04
DCI,0.4482809901,1.885760E-04
DCI,0.4704909921,1.910132E-04
DCI,0.4921439886,1.889367E-04
DCI,0.5176820159,1.957904E-04
DCI,0.5431780219,1.844601E-04
DCI,0.5508790016,1.894454E-04
DCI,0.5573899746,1.931821E-04
DCI,0.5641220212,1.857411E-04
DCI,0.5704290271,1.897506E-04
DCI,0.5767430067,1.958089E-04
DCI,0.5867699981,1.877389E-04
DCI,0.5935410261,1.927289E-04
DCI,0.5999379754,1.917716E-04
DCI,0.6062960029,1.864764E-04
DCI,0.6129559875,1.946944E-04
DCI,0.6192409992,1.905137E-04
DCI,0.6255819798,1.879285E-04
DCI,0.6356070042,1.954898E-04
DCI,0.6424260139,1.844092E-04
DCI,0.6488090158,1.913554E-04
DCI,0.6552519798,1.944585E-04
DCI,0.6617699862,1.841178E-04
DCI,0.6717709899,1.931960E-04
DCI,0.6788179874,1.916421E-04
DCI,0.6854379773,1.862914E-04
DCI,0.6917350292,1.940562E-04
DCI,0.6983050108,1.905229E-04
DCI,0.7047119737,1.887055E-04
DCI,0.7112060189,1.934503E-04
DCI,0.7175329924,1.959707E-04
DCI,0.7275450230,1.862359E-04
DCI,0.7344130278,1.935891E-04
DCI,0.7407799959,1.910918E-04
DCI,0.7472670078,1.883216E-04
DCI,0.7572619915,1.964933E-04
DCI,0.7723370194,1.932653E-04
DCI,0.7823629975,1.857966E-04
DCI,0.8021110296,1.882939E-04
DCI,0.8084589839,1.899079E-04
DCI,0.8248389959,1.842843E-04
DCI,0.8381329775,1.929971E-04
DCI,0.8521779776,1.883216E-04
DCI,0.8585389853,1.919150E-04
DCI,0.8753989935,1.957441E-04
DCI,0.8925790191,1.927011E-04
DCI,0.9037879705,1.930156E-04
DCI,0.9141110182,1.965812E-04
DCI,0.9208649993,1.856393E-04
DCI,0.9315569997,1.924283E-04
DCI,0.9385280013,1.946435E-04
DCI,0.9450259805,1.852971E-04
DCI,0.9513090253,1.930665E-04
DCI,0.9576849937,1.904443E-04
DCI,0.9639670253,1.861249E-04
DCI,0.9701820016,1.922803E-04
DCI,0.9764320254,1.913600E-04
DCI,0.9830309749,1.868232E-04
DCI,0.9892759919,1.872395E-04
DCI,0.9956640005,1.966644E-04
DCI,1.0022740364,1.870175E-04
DCI,1.0090229511,1.903565E-04
DCI,1.0223410130,1.875863E-04
DCI,1.0363960266,1.891772E-04
DCI,1.0433950424,1.869435E-04
DCI,1.0498369932,1.908605E-04
DCI,1.0561939478,1.926364E-04
DCI,1.0624779463,1.863099E-04
DCI,1.0687309504,1.912166E-04
DCI,1.0750730038,1.935382E-04
DCI,1.0815470219,1.894500E-04
DCI,1.0881819725,1.886638E-04
DCI,1.0950939655,1.943244E-04
DCI,1.1125730276,1.950967E-04
DCI,1.1192879677,1.885297E-04
DCI,1.1300059557,1.898339E-04
DCI,1.1370929480,1.946990E-04
DCI,1.1436300278,1.846450E-04
DCI,1.1500550508,1.905923E-04
DCI,1.1563760042,1.934550E-04
DCI,1.1626780033,1.840346E-04
DCI,1.1688959599,1.910594E-04
DCI,1.1754729748,1.931544E-04
DCI,1.1825939417,1.844647E-04
DCI,1.1923639774,1.943429E-04
DCI,1.2096400261,1.893945E-04
DCI,1.2169339657,1.927751E-04
DCI,1.2234710455,1.847699E-04
DCI,1.2297489643,1.914849E-04
DCI,1.2364180088,1.926179E-04
DCI,1.2427409887,1.865180E-04
DCI,1.2489600182,1.903333E-04
DCI,1.2552119493,1.940608E-04
DCI,1.2616519928,1.859584E-04
DCI,1.2685489655,1.891078E-04
DCI,1.2821639776,1.850844E-04
DCI,1.2922879457,1.904536E-04
DCI,1.3033829927,1.911750E-04
DCI,1.3101609945,1.895934E-04
DCI,1.3167940378,1.949718E-04
DCI,1.3232350349,1.840346E-04
DCI,1.3294880390,1.904859E-04
DCI,1.3361510038,1.939729E-04
DCI,1.3425660133,1.854682E-04
DCI,1.3490669727,1.885436E-04
DCI,1.3559089899,1.941348E-04
DCI,1.3725090027,1.939035E-04
DCI,1.3791929483,1.927335E-04
DCI,1.3944679499,1.944909E-04
