Mode,Time(s),Value
DCI,33.5161323547,5.992359E-05
DCI,33.7160758972,5.774539E-05
DCI,33.9160842896,5.607591E-05
DCI,34.1161994934,5.606666E-05
DCI,34.3161697388,5.627939E-05
DCI,34.5162086487,5.834197E-05
DCI,34.7163391113,5.935014E-05
DCI,34.9162712097,5.845759E-05
DCI,35.1163063049,5.937326E-05
DCI,35.3164367676,5.708870E-05
DCI,35.5163955688,5.805062E-05
DCI,35.7164230347,5.679735E-05
DCI,35.9165382385,5.528510E-05
DCI,36.1165046692,5.686209E-05
DCI,36.3165130615,5.737080E-05
DCI,36.5165405273,5.769915E-05
DCI,36.7165641785,5.725056E-05
DCI,36.9165840149,5.907266E-05
DCI,37.1166305542,5.820323E-05
DCI,37.3166847229,5.905879E-05
DCI,37.5167083740,5.806912E-05
DCI,37.7167396545,5.624239E-05
DCI,37.9168319702,5.750029E-05
DCI,38.1168212891,5.739392E-05
DCI,38.3169097900,5.833735E-05
DCI,38.5169448853,5.706095E-05
DCI,38.7169151306,5.828185E-05
DCI,38.9170188904,5.825873E-05
DCI,39.1169891357,5.688521E-05
DCI,39.3170242310,5.710720E-05
DCI,39.5171356201,2.953030E-04
DCI,39.7171211243,3.962310E-03
DCI,39.9171295166,8.412806E-03
DCI,40.1171913147,7.063822E-03
DCI,40.3172607422,4.731098E-03
DCI,40.5172653198,3.135279E-03
DCI,40.7173118591,2.087594E-03
DCI,40.9173698425,1.413902E-03
DCI,41.1183204651,9.794004E-04
DCI,41.3182487488,7.025751E-04
DCI,41.5182876587,5.192596E-04
DCI,41.7184257507,3.948064E-04
DCI,41.9183845520,3.102406E-04
DCI,42.1183929443,2.517206E-04
DCI,42.3184967041,2.078560E-04
DCI,42.5184707642,1.760710E-04
DCI,42.7184982300,1.510657E-04
DCI,42.9185142517,1.316607E-04
DCI,43.1185417175,1.223051E-04
DCI,43.3185806274,1.144756E-04
DCI,43.5186882019,1.065167E-04
DCI,43.7187042236,1.016377E-04
DCI,43.9187049866,9.823859E-05
DCI,44.1188087463,9.522334E-05
DCI,44.3187446594,9.308214E-05
DCI,44.5187759399,9.359085E-05
DCI,44.7188758850,9.026112E-05
DCI,44.9188613892,8.803205E-05
DCI,45.1188964844,8.777770E-05
DCI,45.3189926147,8.682040E-05
DCI,45.5189666748,8.584460E-05
DCI,45.7190551758,8.512316E-05
DCI,45.9190673828,8.378202E-05
DCI,46.1190834045,8.537752E-05
DCI,46.3191223145,8.349992E-05
DCI,46.5191917419,7.965223E-05
DCI,46.7196388245,8.259349E-05
DCI,46.9199752808,8.385601E-05
DCI,47.1199035645,8.394388E-05
DCI,47.3199501038,8.360629E-05
DCI,47.5200881958,8.090088E-05
DCI,47.7238082886,8.004533E-05
DCI,47.9233741760,8.162232E-05
DCI,48.1234741211,8.013319E-05
DCI,48.3234634399,8.099337E-05
DCI,48.5234718323,8.269986E-05
DCI,48.7235298157,8.003608E-05
DCI,48.9235305786,8.102112E-05
DCI,49.1235466003,7.990196E-05
DCI,49.3236083984,8.035518E-05
DCI,49.5236358643,8.021644E-05
DCI,49.7236785889,8.045229E-05
DCI,49.9237098694,8.055403E-05
DCI,50.1240310669,8.066040E-05
DCI,50.3237609863,7.982334E-05
DCI,50.5238838196,8.206629E-05
DCI,50.7238464355,8.255650E-05
DCI,50.9238662720,8.150208E-05
DCI,51.1240043640,7.988809E-05
DCI,51.3239669800,8.117836E-05
DCI,51.5240135193,8.331493E-05
DCI,51.7241134644,8.087313E-05
DCI,51.9240722656,7.911578E-05
DCI,52.1240997314,7.963373E-05
DCI,52.3241767883,8.229289E-05
DCI,52.5241661072,8.082226E-05
DCI,52.7275352478,8.203854E-05
DCI,52.9275360107,8.226977E-05
DCI,53.1275405884,8.089626E-05
DCI,53.3276557922,8.015632E-05
DCI,53.5276107788,7.953662E-05
DCI,53.7276382446,8.150208E-05
DCI,53.9277458191,8.141421E-05
DCI,54.1277198792,8.108124E-05
DCI,54.3277587891,8.020256E-05
DCI,54.5278701782,7.864869E-05
DCI,54.7278137207,7.982334E-05
DCI,54.9278564453,8.180731E-05
DCI,55.1279945374,7.991121E-05
DCI,55.3279418945,7.890767E-05
DCI,55.5279693604,8.017944E-05
DCI,55.7280158997,7.991584E-05
DCI,55.9280471802,8.220040E-05
DCI,56.1280937195,8.342130E-05
DCI,56.3281326294,8.194142E-05
DCI,56.5281639099,8.162232E-05
DCI,56.7281723022,7.976322E-05
DCI,56.9282112122,8.005457E-05
DCI,57.1282386780,8.011007E-05
DCI,57.3282394409,8.170557E-05
DCI,57.5282821655,8.048004E-05
DCI,57.7283058167,8.004070E-05
DCI,57.9310913086,8.121998E-05
DCI,58.1310348511,7.956436E-05
DCI,58.3310546875,7.775151E-05
DCI,58.5311203003,8.022106E-05
