Mode,Time(s),Value
DCI,0.0053300001,8.373577E-05
DCI,0.0301220007,7.769139E-05
DCI,0.0453029983,8.394388E-05
DCI,0.0601040013,8.756034E-05
DCI,0.0786340013,8.113674E-05
DCI,0.0936079994,8.181656E-05
DCI,0.1121139973,7.737229E-05
DCI,0.1273249984,7.886605E-05
DCI,0.1419029981,8.641806E-05
DCI,0.1564899981,8.105812E-05
DCI,0.1749929935,8.058178E-05
DCI,0.1934490055,7.990196E-05
DCI,0.2085600048,7.702082E-05
DCI,0.2236499935,8.458671E-05
DCI,0.2386199981,8.146971E-05
DCI,0.2533259988,8.142346E-05
DCI,0.2721869946,7.941175E-05
DCI,0.2905969918,7.682659E-05
DCI,0.3056389987,7.863944E-05
DCI,0.3203000128,8.510466E-05
DCI,0.3351610005,8.234376E-05
DCI,0.3498199880,7.697920E-05
DCI,0.3716270030,8.081764E-05
DCI,0.3870890141,7.946262E-05
DCI,0.4018220007,8.492893E-05
DCI,0.4164040089,8.143271E-05
DCI,0.4311699867,7.706244E-05
DCI,0.4495930076,7.695145E-05
DCI,0.4682230055,7.555019E-05
DCI,0.4834379852,8.460520E-05
DCI,0.4984000027,8.669553E-05
DCI,0.5129690170,7.880593E-05
DCI,0.5316500068,7.943025E-05
DCI,0.5468000174,8.333806E-05
DCI,0.5652480125,8.225127E-05
DCI,0.5805439949,8.585385E-05
DCI,0.5952979922,7.952737E-05
DCI,0.6099470258,7.614677E-05
DCI,0.6288459897,7.728905E-05
DCI,0.6437109709,8.246400E-05
DCI,0.6622369885,8.633019E-05
DCI,0.6778010130,8.266286E-05
DCI,0.6924750209,7.686821E-05
DCI,0.7109349966,7.663235E-05
DCI,0.7262229919,8.398550E-05
DCI,0.7408940196,8.646893E-05
DCI,0.7592110038,8.116911E-05
DCI,0.7742890120,8.125235E-05
DCI,0.7931759953,8.058641E-05
DCI,0.8084139824,7.875043E-05
DCI,0.8230940104,8.520178E-05
DCI,0.8380699754,8.126623E-05
DCI,0.8564800024,8.159920E-05
DCI,0.8756009936,7.910190E-05
DCI,0.8906990290,7.692371E-05
DCI,0.9054279923,8.510929E-05
DCI,0.9201239944,8.543764E-05
DCI,0.9350299835,8.019794E-05
DCI,0.9535329938,8.021644E-05
DCI,0.9722049832,8.002683E-05
DCI,0.9875730276,8.144196E-05
DCI,1.0023109913,8.393001E-05
DCI,1.0169659853,8.022569E-05
DCI,1.0318540335,7.938400E-05
DCI,1.0537869930,8.018869E-05
DCI,1.0690850019,7.584617E-05
DCI,1.0840500593,8.489193E-05
DCI,1.0990730524,8.627007E-05
DCI,1.1139630079,7.958749E-05
DCI,1.1329209805,8.041530E-05
DCI,1.1518779993,7.798274E-05
DCI,1.1784720421,8.426298E-05
DCI,1.1998289824,8.321319E-05
DCI,1.2191959620,8.294496E-05
DCI,1.2350039482,7.971698E-05
DCI,1.2536950111,7.781626E-05
DCI,1.2691140175,7.565656E-05
DCI,1.2952189445,8.048929E-05
DCI,1.3205740452,8.608971E-05
DCI,1.3554910421,8.111361E-05
DCI,1.3826849461,8.597872E-05
DCI,1.4071869850,7.766827E-05
DCI,1.4354200363,8.022569E-05
DCI,1.4559140205,8.020256E-05
DCI,1.4752479792,8.025343E-05
DCI,1.4905339479,7.647974E-05
DCI,1.5055710077,8.487343E-05
DCI,1.5202970505,8.596484E-05
DCI,1.5353640318,7.852382E-05
DCI,1.5505059958,7.692833E-05
DCI,1.5658479929,7.965223E-05
DCI,1.5851709843,8.582148E-05
DCI,1.6104170084,7.774226E-05
DCI,1.6259479523,8.011932E-05
DCI,1.6450610161,8.558100E-05
DCI,1.6604080200,8.548851E-05
DCI,1.6853790283,8.036442E-05
DCI,1.7025840282,8.449884E-05
DCI,1.7177989483,8.091013E-05
DCI,1.7370879650,8.128472E-05
DCI,1.7523610592,7.803824E-05
DCI,1.7735270262,7.941175E-05
DCI,1.7943090200,7.864869E-05
DCI,1.8133070469,7.787175E-05
DCI,1.8291989565,7.750178E-05
DCI,1.8442870378,8.242238E-05
DCI,1.8652100563,8.306983E-05
DCI,1.8860529661,8.273686E-05
DCI,1.9051100016,8.375427E-05
DCI,1.9204030037,8.274611E-05
DCI,1.9359079599,8.110436E-05
DCI,1.9552179575,8.056791E-05
DCI,1.9776610136,8.374502E-05
DCI,1.9969979525,8.156220E-05
DCI,2.0123848915,7.666935E-05
DCI,2.0277910233,7.818160E-05
DCI,2.0539999008,8.004533E-05
DCI,2.0731749535,8.055403E-05
DCI,2.0887420177,7.825097E-05
DCI,2.1038129330,8.436010E-05
DCI,2.1190409660,8.146046E-05
DCI,2.1454710960,8.462370E-05
DCI,2.1647748947,8.590935E-05
DCI,2.1801869869,8.449421E-05
DCI,2.1992049217,8.649667E-05
DCI,2.2145500183,7.932388E-05
DCI,2.2346549034,8.123385E-05
DCI,2.2604351044,8.567812E-05
DCI,2.2756800652,8.032280E-05
DCI,2.2912158966,7.697458E-05
DCI,2.3064899445,8.154833E-05
DCI,2.3251829147,8.364791E-05
DCI,2.3518390656,7.782088E-05
DCI,2.3671300411,8.117373E-05
DCI,2.3826138973,8.634869E-05
DCI,2.3977599144,8.151133E-05
DCI,2.4254710674,8.178881E-05
DCI,2.4436769485,8.562725E-05
DCI,2.4590909481,8.264436E-05
DCI,2.4743258953,7.865794E-05
DCI,2.4897749424,7.644737E-05
DCI,2.5153710842,8.064190E-05
DCI,2.5356309414,8.033668E-05
DCI,2.5508580208,7.675259E-05
DCI,2.5661408901,8.511391E-05
DCI,2.5817968845,8.614983E-05
DCI,2.6053929329,8.527577E-05
DCI,2.6268188953,8.502604E-05
DCI,2.6422820091,8.590010E-05
DCI,2.6574950218,8.148821E-05
DCI,2.6728041172,7.737692E-05
DCI,2.6952040195,8.054941E-05
DCI,2.7177989483,8.193217E-05
DCI,2.7333149910,8.095638E-05
DCI,2.7524480820,7.551782E-05
DCI,2.7679998875,7.980485E-05
DCI,2.7945780754,7.862094E-05
DCI,2.8099009991,7.664623E-05
DCI,2.8248939514,8.493355E-05
DCI,2.8442320824,8.531740E-05
DCI,2.8596210480,8.574286E-05
DCI,2.8804330826,8.673715E-05
DCI,2.9018380642,8.519716E-05
DCI,2.9172210693,8.190905E-05
DCI,2.9369070530,8.035980E-05
DCI,2.9522559643,7.967536E-05
DCI,2.9752209187,8.171481E-05
DCI,2.9943571091,7.903716E-05
DCI,3.0135979652,7.776539E-05
DCI,3.0293650627,7.589704E-05
DCI,3.0450830460,8.375890E-05
DCI,3.0652389526,8.524340E-05
DCI,3.0872650146,8.158995E-05
DCI,3.1063129902,8.294496E-05
DCI,3.1218039989,8.607121E-05
DCI,3.1374540329,8.108124E-05
DCI,3.1639640331,8.683890E-05
DCI,3.1836071014,8.588622E-05
DCI,3.2029271126,8.540064E-05
DCI,3.2185249329,8.236689E-05
DCI,3.2343130112,8.000833E-05
DCI,3.2552649975,8.009157E-05
DCI,3.2800419331,8.165007E-05
DCI,3.2957420349,8.032280E-05
DCI,3.3111300468,7.752491E-05
DCI,3.3263890743,8.495668E-05
DCI,3.3554680347,8.017944E-05
DCI,3.3718419075,7.568893E-05
DCI,3.3875720501,8.014707E-05
DCI,3.4028789997,8.657529E-05
DCI,3.4181458950,8.038292E-05
DCI,3.4456539154,8.381902E-05
DCI,3.4639139175,8.396701E-05
DCI,3.4793269634,8.034130E-05
DCI,3.4949181080,8.109512E-05
DCI,3.5106151104,7.519410E-05
DCI,3.5353660583,7.782551E-05
DCI,3.5567300320,7.991121E-05
DCI,3.5720760822,7.537908E-05
DCI,3.5875239372,8.319932E-05
DCI,3.6033370495,8.584923E-05
DCI,3.6252079010,8.645968E-05
DCI,3.6487770081,7.643812E-05
DCI,3.6642289162,8.468845E-05
DCI,3.6796689034,8.363403E-05
DCI,3.6953930855,7.872268E-05
DCI,3.7152249813,8.145121E-05
DCI,3.7407510281,8.429535E-05
DCI,3.7564070225,7.942100E-05
DCI,3.7756919861,8.030430E-05
DCI,3.7914090157,7.710407E-05
DCI,3.8152120113,7.916202E-05
DCI,3.8339209557,7.784863E-05
DCI,3.8497159481,7.820010E-05
DCI,3.8690450191,7.796887E-05
DCI,3.8846979141,8.462370E-05
DCI,3.9052169323,8.305133E-05
DCI,3.9275250435,7.810298E-05
DCI,3.9467771053,8.577061E-05
DCI,3.9628129005,8.537289E-05
DCI,3.9783470631,8.125698E-05
DCI,3.9989678860,8.153445E-05
DCI,4.0205907822,8.454508E-05
DCI,4.0399880409,8.367103E-05
DCI,4.0559029579,7.971698E-05
DCI,4.0715990067,7.661848E-05
DCI,4.0952348709,7.982334E-05
DCI,4.1176500320,8.081764E-05
DCI,4.1332011223,7.974935E-05
DCI,4.1486129761,8.146046E-05
DCI,4.1642270088,8.690364E-05
DCI,4.1852388382,8.428148E-05
DCI,4.2137341499,8.058641E-05
DCI,4.2296128273,7.555482E-05
DCI,4.2453951836,8.491968E-05
DCI,4.2612729073,8.411037E-05
DCI,4.2856049538,8.222815E-05
DCI,4.3071942329,8.345830E-05
DCI,4.3224730492,8.552550E-05
DCI,4.3379888535,7.968923E-05
DCI,4.3536291122,7.862557E-05
DCI,4.3752298355,7.954587E-05
DCI,4.3989810944,8.193217E-05
DCI,4.4147181511,8.020719E-05
DCI,4.4302568436,7.849145E-05
DCI,4.4456639290,8.362941E-05
DCI,4.4652218819,8.594172E-05
