Mode,Time(s),Value
DCI,0.0076120002,2.906553E-04
DCI,0.0216370001,2.837646E-04
DCI,0.0288369991,2.914692E-04
DCI,0.0354410000,2.831079E-04
DCI,0.0423020013,2.873579E-04
DCI,0.0490479991,2.903963E-04
DCI,0.0554540008,2.828397E-04
DCI,0.0620930009,2.894251E-04
DCI,0.0685679987,2.897673E-04
DCI,0.0749329999,2.856144E-04
DCI,0.0814139992,2.860122E-04
DCI,0.0917730033,2.859382E-04
DCI,0.1023719981,2.860445E-04
DCI,0.1093679965,2.939388E-04
DCI,0.1159370020,2.846664E-04
DCI,0.1225270033,2.870018E-04
DCI,0.1289950013,2.916819E-04
DCI,0.1354160011,2.825252E-04
DCI,0.1422249973,2.876261E-04
DCI,0.1487209946,2.914091E-04
DCI,0.1550740004,2.840374E-04
DCI,0.1615010053,2.871868E-04
DCI,0.1680770069,2.940081E-04
DCI,0.1782869995,2.868908E-04
DCI,0.1851300001,2.932913E-04
DCI,0.1957239956,2.822847E-04
DCI,0.2027560025,2.870573E-04
DCI,0.2094780058,2.916912E-04
DCI,0.2160809934,2.838756E-04
DCI,0.2225819975,2.877094E-04
DCI,0.2291049957,2.925884E-04
DCI,0.2355069965,2.859058E-04
DCI,0.2422640026,2.870712E-04
DCI,0.2487529963,2.914091E-04
DCI,0.2551620007,2.816326E-04
DCI,0.2654489875,2.916542E-04
DCI,0.2723610103,2.881395E-04
DCI,0.2790510058,2.861694E-04
DCI,0.2895640135,2.884678E-04
DCI,0.2964169979,2.848976E-04
DCI,0.3033019900,2.934347E-04
DCI,0.3098930120,2.879082E-04
DCI,0.3163250089,2.868677E-04
DCI,0.3228589892,2.934670E-04
DCI,0.3292999864,2.865532E-04
DCI,0.3356850147,2.813968E-04
DCI,0.3424310088,2.867197E-04
DCI,0.3527779877,2.836998E-04
DCI,0.3596439958,2.886343E-04
DCI,0.3662669957,2.911964E-04
DCI,0.3728919923,2.823402E-04
DCI,0.3831009865,2.919455E-04
DCI,0.3904500008,2.892725E-04
DCI,0.3971030116,2.857485E-04
DCI,0.4035759866,2.914877E-04
DCI,0.4100930095,2.878574E-04
DCI,0.4165059924,2.864469E-04
DCI,0.4229319990,2.919363E-04
DCI,0.4329999983,2.845230E-04
DCI,0.4403289855,2.849855E-04
DCI,0.4470050037,2.932682E-04
DCI,0.4534769952,2.827564E-04
DCI,0.4600239992,2.854202E-04
DCI,0.4664460123,2.942024E-04
DCI,0.4765349925,2.847774E-04
DCI,0.4836350083,2.906599E-04
DCI,0.4905110002,2.904287E-04
DCI,0.4970839918,2.837785E-04
DCI,0.5035600066,2.919779E-04
DCI,0.5101469755,2.891708E-04
DCI,0.5204089880,2.872654E-04
DCI,0.5273969769,2.938509E-04
DCI,0.5339599848,2.830570E-04
DCI,0.5407130122,2.860538E-04
DCI,0.5472609997,2.909975E-04
